(50 b9 01 02) 344 4  (88 0c e3 05) 388 4  732 8
(48 b6 01 02) 352 4  (24 5b e1 01) 380 4  732 8
(71 f6 01 02) 388 4  (12 07 18 30) 344 4  732 8
(ab ff 01 02) 416 4  (44 56 20 40) 316 4  732 8
(31 40 01 02) 348 4  (5b 02 bb b5) 384 4  732 8
(12 3b 01 02) 344 4  (d8 f7 0c 18) 388 4  732 8
(08 b2 01 02) 340 4  (48 6b 09 12) 392 4  732 8
(5f 76 01 02) 392 4  (02 2d 0c 18) 340 4  732 8
(42 d0 01 02) 380 4  (aa 9e 10 20) 356 4  736 8
(41 ec 01 02) 412 4  (4d 6c 08 10) 324 4  736 8
(61 cc 01 02) 388 4  (8e af 08 10) 348 4  736 8
(50 c2 01 02) 364 4  (49 7d 10 20) 372 4  736 8
(62 f0 01 02) 412 4  (ef db 10 20) 324 4  736 8
(4b a9 01 02) 384 4  (ef e1 04 08) 352 4  736 8
(04 66 01 02) 336 4  (f3 14 4c 98) 400 4  736 8
(4f e2 01 02) 412 4  (3d 1c 08 10) 324 4  736 8
(30 cc 01 02) 344 4  (08 22 5f be) 392 4  736 8
(23 b1 01 02) 388 4  (75 41 10 20) 348 4  736 8
(44 d6 01 02) 380 4  (ca fe 10 20) 356 4  736 8
(54 c2 01 02) 400 4  (34 10 5b b6) 336 4  736 8
(17 85 01 02) 404 4  (b3 87 10 20) 332 4  736 8
(48 aa 01 02) 400 4  (e3 ed 04 08) 336 4  736 8
(07 ad 01 02) 364 4  (03 cb 40 80) 372 4  736 8
(46 a4 01 02) 376 4  (db d5 04 08) 360 4  736 8
(2e 38 01 02) 384 4  (2c 0a 30 60) 352 4  736 8
(42 ef 01 02) 404 4  (55 74 08 10) 332 4  736 8
(2a 80 01 02) 356 4  (12 da 40 80) 380 4  736 8
(11 38 01 02) 376 4  (cc e3 0c 18) 364 4  740 8
(04 ba 01 02) 352 4  (90 8c 24 48) 388 4  740 8
(18 65 01 02) 372 4  (20 8c bd b9) 368 4  740 8
(1e 4a 01 02) 408 4  (46 54 20 40) 332 4  740 8
(1e cc 01 02) 396 4  (10 a0 f3 25) 344 4  740 8
(0b 97 01 02) 380 4  (16 ed 02 04) 360 4  740 8
(44 d8 01 02) 388 4  (88 73 02 04) 352 4  740 8
(05 99 01 02) 388 4  (0a f1 02 04) 352 4  740 8
(46 fc 01 02) 412 4  (33 10 09 12) 328 4  740 8
(23 a4 01 02) 372 4  (ae bb 18 30) 368 4  740 8
(b0 e4 01 02) 384 4  (a2 b0 20 40) 356 4  740 8
(88 dc 01 02) 400 4  (ae bc 20 40) 340 4  740 8
(3e b9 01 02) 396 4  (55 40 18 30) 344 4  740 8
(0d 70 01 02) 356 4  (ad 01 bd b9) 384 4  740 8
(0c 61 01 02) 356 4  (64 10 b6 af) 384 4  740 8
(17 39 01 02) 400 4  (08 18 4b 96) 340 4  740 8
(0b 22 01 02) 368 4  (74 5b 0c 18) 372 4  740 8
(1a 4e 01 02) 376 4  (c6 d4 20 40) 364 4  740 8
(2d 79 01 02) 416 4  (e9 fb 20 40) 324 4  740 8
(5a d8 01 02) 396 4  (18 20 15 2a) 344 4  740 8
(14 93 01 02) 380 4  (23 36 18 30) 360 4  740 8
(22 be 01 02) 380 4  (44 bf 02 04) 360 4  740 8
(20 51 01 02) 340 4  (01 58 bb b5) 400 4  740 8
(04 72 01 02) 348 4  (28 f2 0a 14) 396 4  744 8
(60 82 01 02) 376 4  (43 4d 04 08) 368 4  744 8
(cd ee 01 02) 404 4  (16 20 7b f6) 340 4  744 8
(29 2b 01 02) 372 4  (29 2b 01 02) 372 4  744 8
(60 62 01 02) 372 4  (60 62 01 02) 372 4  744 8
(1d 6b 01 02) 388 4  (d2 08 0a 14) 356 4  744 8
(88 d4 01 02) 404 4  (32 08 14 28) 340 4  744 8
(17 f5 01 02) 408 4  (5c 52 04 08) 336 4  744 8
(04 29 01 02) 332 4  (48 87 12 24) 412 4  744 8
(26 7b 01 02) 352 4  (09 10 77 ee) 392 4  744 8
(10 dd 01 02) 312 4  (49 b5 50 a0) 432 4  744 8
(14 a9 01 02) 356 4  (44 48 05 0a) 388 4  744 8
(34 d6 01 02) 384 4  (d0 de 04 08) 360 4  744 8
(6b 7f 01 02) 408 4  (e1 08 48 90) 336 4  744 8
(19 fb 01 02) 368 4  (64 6a 04 08) 376 4  744 8
(90 bd 01 02) 340 4  (f7 38 12 24) 404 4  744 8
(58 5a 01 02) 372 4  (58 5a 01 02) 372 4  744 8
(a0 b4 01 02) 360 4  (44 ad 48 90) 384 4  744 8
(44 46 01 02) 372 4  (44 46 01 02) 372 4  744 8
(08 7e 01 02) 340 4  (50 8a 0a 14) 404 4  744 8
(c0 c2 01 02) 372 4  (c0 c2 01 02) 372 4  744 8
(90 92 01 02) 372 4  (90 92 01 02) 372 4  744 8
(11 13 01 02) 372 4  (11 13 01 02) 372 4  744 8
(1b b9 01 02) 368 4  (10 e2 54 a8) 376 4  744 8
(10 51 01 02) 320 4  (cf 15 60 c0) 424 4  744 8
(75 d8 01 02) 428 4  (2e 0f 08 10) 316 4  744 8
(e1 f7 01 02) 384 4  (18 3e 30 60) 360 4  744 8
(48 4a 01 02) 372 4  (48 4a 01 02) 372 4  744 8
